X,Y,band1,band2,band3,class
2,3,0,0,0,artificial surface
2,4,0,0,0,artificial surface
2,5,0,0,0,artificial surface
2,6,0,0,0,artificial surface
2,7,0,0,0,artificial surface
2,8,65,48,45,artificial surface
2,9,58,43,40,artificial surface
2,10,55,44,41,artificial surface
2,11,56,42,38,artificial surface
2,12,64,47,41,artificial surface
2,13,58,45,43,artificial surface
2,14,66,50,42,artificial surface
2,15,0,0,0,artificial surface
3,0,0,0,0,artificial surface
3,1,0,0,0,artificial surface
3,2,0,0,0,artificial surface
3,3,0,0,0,artificial surface
3,4,0,0,0,artificial surface
3,5,63,46,44,artificial surface
3,6,59,43,40,artificial surface
3,7,53,40,36,artificial surface
3,8,54,41,36,artificial surface
3,9,58,43,41,artificial surface
3,10,59,47,41,artificial surface
3,11,57,45,39,artificial surface
3,12,63,46,41,artificial surface
3,13,63,49,46,artificial surface
3,14,68,51,48,artificial surface
3,15,0,0,0,artificial surface
4,0,0,0,0,artificial surface
4,1,61,46,40,artificial surface
4,2,62,48,47,artificial surface
4,3,59,45,40,artificial surface
4,4,58,44,38,artificial surface
4,5,62,46,46,artificial surface
4,6,59,43,40,artificial surface
4,7,55,39,34,artificial surface
4,8,57,41,36,artificial surface
4,9,60,46,40,artificial surface
4,10,57,45,39,artificial surface
4,11,58,47,39,artificial surface
4,12,64,49,50,artificial surface
4,13,63,48,44,artificial surface
4,14,59,45,40,artificial surface
4,15,60,44,37,artificial surface
5,0,0,0,0,artificial surface
5,1,67,50,47,artificial surface
5,2,62,48,48,artificial surface
5,3,58,41,42,artificial surface
5,4,60,45,45,artificial surface
5,5,61,46,44,artificial surface
5,6,59,45,40,artificial surface
5,7,54,41,35,artificial surface
5,8,60,44,41,artificial surface
5,9,65,50,43,artificial surface
5,10,58,44,41,artificial surface
5,11,60,48,44,artificial surface
5,12,63,49,50,artificial surface
5,13,63,46,46,artificial surface
5,14,61,45,36,artificial surface
5,15,62,45,39,artificial surface
6,0,0,0,0,artificial surface
6,1,0,0,0,artificial surface
6,2,60,44,45,artificial surface
6,3,60,45,42,artificial surface
6,4,58,47,42,artificial surface
6,5,59,44,43,artificial surface
6,6,64,48,45,artificial surface
6,7,66,54,51,artificial surface
6,8,62,49,46,artificial surface
6,9,62,49,41,artificial surface
6,10,61,45,38,artificial surface
6,11,61,45,43,artificial surface
6,12,59,45,45,artificial surface
6,13,63,46,47,artificial surface
6,14,60,45,41,artificial surface
6,15,56,41,38,artificial surface
7,0,0,0,0,artificial surface
7,1,0,0,0,artificial surface
7,2,62,46,44,artificial surface
7,3,60,46,45,artificial surface
7,4,56,45,39,artificial surface
7,5,58,44,39,artificial surface
7,6,59,46,41,artificial surface
7,7,59,44,38,artificial surface
7,8,58,44,37,artificial surface
7,9,59,46,38,artificial surface
7,10,67,49,49,artificial surface
7,11,67,49,49,artificial surface
7,12,70,50,49,artificial surface
7,13,62,48,45,artificial surface
7,14,62,49,44,artificial surface
7,15,54,41,37,artificial surface
8,0,0,0,0,artificial surface
8,1,0,0,0,artificial surface
8,2,63,44,43,artificial surface
8,3,65,49,47,artificial surface
8,4,68,52,48,artificial surface
8,5,60,44,41,artificial surface
8,6,59,44,41,artificial surface
8,7,55,43,37,artificial surface
8,8,66,48,45,artificial surface
8,9,74,56,53,artificial surface
8,10,69,52,49,artificial surface
8,11,68,51,49,artificial surface
8,12,78,62,61,artificial surface
8,13,59,45,40,artificial surface
8,14,56,44,35,artificial surface
8,15,59,44,37,artificial surface
9,0,0,0,0,artificial surface
9,1,0,0,0,artificial surface
9,2,0,0,0,artificial surface
9,3,63,44,42,artificial surface
9,4,62,47,45,artificial surface
9,5,57,42,38,artificial surface
9,6,58,44,43,artificial surface
9,7,62,47,43,artificial surface
9,8,69,50,42,artificial surface
9,9,82,60,56,artificial surface
9,10,69,52,48,artificial surface
9,11,65,50,43,artificial surface
9,12,69,50,49,artificial surface
9,13,71,56,52,artificial surface
9,14,55,44,37,artificial surface
9,15,56,43,37,artificial surface
10,0,0,0,0,artificial surface
10,1,0,0,0,artificial surface
10,2,0,0,0,artificial surface
10,3,0,0,0,artificial surface
10,4,0,0,0,artificial surface
10,5,0,0,0,artificial surface
10,6,56,38,34,artificial surface
10,7,60,44,41,artificial surface
10,8,67,51,47,artificial surface
10,9,66,49,43,artificial surface
10,10,58,44,40,artificial surface
10,11,60,43,37,artificial surface
10,12,55,41,38,artificial surface
10,13,64,48,42,artificial surface
10,14,61,46,45,artificial surface
10,15,0,0,0,artificial surface
11,0,0,0,0,artificial surface
11,1,0,0,0,artificial surface
11,2,0,0,0,artificial surface
11,3,0,0,0,artificial surface
11,4,0,0,0,artificial surface
11,5,0,0,0,artificial surface
11,6,0,0,0,artificial surface
11,7,0,0,0,artificial surface
11,8,0,0,0,artificial surface
11,9,0,0,0,artificial surface
11,10,0,0,0,artificial surface
11,11,0,0,0,artificial surface
11,12,0,0,0,artificial surface
11,13,0,0,0,artificial surface
11,14,0,0,0,artificial surface
11,15,0,0,0,artificial surface
0,0,0,0,0,cloud
0,1,0,0,0,cloud
0,2,241,200,220,cloud
0,3,0,0,0,cloud
0,4,0,0,0,cloud
0,5,0,0,0,cloud
0,6,0,0,0,cloud
0,7,0,0,0,cloud
1,0,0,0,0,cloud
1,1,0,0,0,cloud
1,2,205,172,179,cloud
1,3,205,166,170,cloud
1,4,243,201,232,cloud
1,5,250,215,240,cloud
1,6,0,0,0,cloud
1,7,0,0,0,cloud
2,0,0,0,0,cloud
2,1,0,0,0,cloud
2,2,194,157,159,cloud
2,3,188,149,152,cloud
2,4,204,164,172,cloud
2,5,226,186,203,cloud
2,6,0,212,248,cloud
2,7,0,247,0,cloud
3,0,0,0,0,cloud
3,1,183,144,153,cloud
3,2,185,150,159,cloud
3,3,192,154,162,cloud
3,4,194,154,161,cloud
3,5,212,175,184,cloud
3,6,244,206,228,cloud
3,7,0,0,0,cloud
4,0,0,0,0,cloud
4,1,172,137,145,cloud
4,2,178,143,149,cloud
4,3,184,147,153,cloud
4,4,196,160,167,cloud
4,5,206,166,178,cloud
4,6,225,182,200,cloud
4,7,0,0,0,cloud
5,0,0,0,0,cloud
5,1,0,0,0,cloud
5,2,191,154,161,cloud
5,3,196,157,163,cloud
5,4,199,160,170,cloud
5,5,216,175,190,cloud
5,6,0,0,0,cloud
5,7,0,0,0,cloud
6,0,0,0,0,cloud
6,1,0,0,0,cloud
6,2,0,0,0,cloud
6,3,0,0,0,cloud
6,4,207,170,182,cloud
6,5,225,190,206,cloud
6,6,0,0,0,cloud
6,7,0,0,0,cloud
7,0,0,0,0,cloud
7,1,0,0,0,cloud
7,2,0,0,0,cloud
7,3,0,0,0,cloud
7,4,0,0,0,cloud
7,5,0,231,0,cloud
7,6,0,0,0,cloud
7,7,0,0,0,cloud
0,0,0,0,0,cloud
0,1,0,0,0,cloud
0,2,0,0,0,cloud
0,3,0,0,0,cloud
0,4,0,0,0,cloud
0,5,0,0,0,cloud
0,6,0,0,0,cloud
0,7,0,0,0,cloud
1,0,0,0,0,cloud
1,1,0,0,0,cloud
1,2,0,0,0,cloud
1,3,0,0,0,cloud
1,4,0,0,0,cloud
1,5,0,0,0,cloud
1,6,0,0,0,cloud
1,7,0,0,0,cloud
2,0,0,0,0,cloud
2,1,0,0,0,cloud
2,2,0,0,0,cloud
2,3,0,0,0,cloud
2,4,0,0,0,cloud
2,5,0,0,0,cloud
2,6,0,0,0,cloud
2,7,0,0,0,cloud
3,0,0,0,0,cloud
3,1,0,0,0,cloud
3,2,0,0,0,cloud
3,3,0,0,0,cloud
3,4,0,0,0,cloud
3,5,0,0,0,cloud
3,6,0,0,0,cloud
3,7,0,0,0,cloud
4,0,0,0,0,cloud
4,1,0,0,0,cloud
4,2,0,0,0,cloud
4,3,0,0,0,cloud
4,4,0,0,0,cloud
4,5,0,0,0,cloud
4,6,0,0,0,cloud
4,7,0,0,0,cloud
0,0,0,0,0,forest
0,1,53,37,27,forest
0,2,0,0,0,forest
0,3,0,0,0,forest
0,4,0,0,0,forest
0,5,0,0,0,forest
0,6,0,0,0,forest
0,7,0,0,0,forest
0,8,0,0,0,forest
0,9,0,0,0,forest
0,10,0,0,0,forest
1,0,0,0,0,forest
1,1,54,37,28,forest
1,2,53,36,29,forest
1,3,54,38,32,forest
1,4,53,36,29,forest
1,5,53,37,27,forest
1,6,54,38,32,forest
1,7,53,38,32,forest
1,8,52,38,28,forest
1,9,0,0,0,forest
1,10,0,0,0,forest
2,0,0,0,0,forest
2,1,54,38,29,forest
2,2,53,36,29,forest
2,3,53,37,30,forest
2,4,52,37,29,forest
2,5,54,37,28,forest
2,6,54,35,30,forest
2,7,52,37,30,forest
2,8,52,39,29,forest
2,9,53,37,32,forest
2,10,53,38,29,forest
3,0,0,0,0,forest
3,1,53,39,29,forest
3,2,54,39,29,forest
3,3,52,34,29,forest
3,4,52,36,28,forest
3,5,53,37,30,forest
3,6,54,35,29,forest
3,7,53,36,28,forest
3,8,52,37,30,forest
3,9,53,37,30,forest
3,10,0,0,0,forest
4,0,0,0,0,forest
4,1,53,37,28,forest
4,2,51,39,29,forest
4,3,51,35,29,forest
4,4,55,37,30,forest
4,5,54,37,29,forest
4,6,53,36,28,forest
4,7,54,37,29,forest
4,8,52,36,29,forest
4,9,0,0,0,forest
4,10,0,0,0,forest
5,0,0,0,0,forest
5,1,54,36,29,forest
5,2,52,38,28,forest
5,3,53,37,32,forest
5,4,54,37,29,forest
5,5,52,37,29,forest
5,6,52,36,30,forest
5,7,53,38,29,forest
5,8,53,38,28,forest
5,9,0,0,0,forest
5,10,0,0,0,forest
6,0,0,0,0,forest
6,1,0,0,0,forest
6,2,0,0,0,forest
6,3,0,0,0,forest
6,4,0,0,0,forest
6,5,0,0,0,forest
6,6,0,0,0,forest
6,7,0,0,0,forest
6,8,0,0,0,forest
6,9,0,0,0,forest
6,10,0,0,0,forest
0,0,0,0,0,grassland
0,1,0,0,0,grassland
0,2,0,0,0,grassland
0,3,0,0,0,grassland
0,4,0,0,0,grassland
0,5,0,0,0,grassland
0,6,55,42,33,grassland
0,7,54,42,33,grassland
0,8,0,0,0,grassland
1,0,53,42,33,grassland
1,1,53,42,33,grassland
1,2,52,41,34,grassland
1,3,55,43,34,grassland
1,4,53,42,36,grassland
1,5,54,41,31,grassland
1,6,53,41,32,grassland
1,7,53,41,33,grassland
1,8,0,0,0,grassland
2,0,0,0,0,grassland
2,1,52,45,34,grassland
2,2,53,41,34,grassland
2,3,55,41,33,grassland
2,4,53,42,35,grassland
2,5,55,41,33,grassland
2,6,55,42,31,grassland
2,7,53,41,32,grassland
2,8,0,0,0,grassland
3,0,0,0,0,grassland
3,1,54,42,35,grassland
3,2,55,43,33,grassland
3,3,56,41,33,grassland
3,4,56,41,33,grassland
3,5,56,41,33,grassland
3,6,54,41,31,grassland
3,7,52,42,32,grassland
3,8,0,0,0,grassland
4,0,0,0,0,grassland
4,1,0,0,0,grassland
4,2,56,42,35,grassland
4,3,53,41,32,grassland
4,4,54,41,32,grassland
4,5,54,41,31,grassland
4,6,52,39,32,grassland
4,7,52,40,31,grassland
4,8,0,0,0,grassland
5,0,0,0,0,grassland
5,1,0,0,0,grassland
5,2,54,41,33,grassland
5,3,52,41,31,grassland
5,4,52,40,32,grassland
5,5,54,41,32,grassland
5,6,54,39,31,grassland
5,7,54,38,31,grassland
5,8,0,0,0,grassland
6,0,0,0,0,grassland
6,1,0,0,0,grassland
6,2,0,0,0,grassland
6,3,54,41,30,grassland
6,4,53,39,30,grassland
6,5,54,39,31,grassland
6,6,55,41,31,grassland
6,7,54,40,32,grassland
6,8,0,0,0,grassland
7,0,0,0,0,grassland
7,1,0,0,0,grassland
7,2,0,0,0,grassland
7,3,52,41,30,grassland
7,4,53,40,32,grassland
7,5,56,40,30,grassland
7,6,55,41,31,grassland
7,7,53,42,33,grassland
7,8,0,0,0,grassland
0,0,0,0,0,shadow
0,1,0,0,0,shadow
0,2,0,0,0,shadow
0,3,0,0,0,shadow
0,4,0,0,0,shadow
0,5,48,29,23,shadow
0,6,0,0,0,shadow
0,7,0,0,0,shadow
0,8,0,0,0,shadow
1,0,0,0,0,shadow
1,1,0,0,0,shadow
1,2,0,0,0,shadow
1,3,0,0,0,shadow
1,4,48,28,21,shadow
1,5,47,27,22,shadow
1,6,0,0,0,shadow
1,7,0,0,0,shadow
1,8,0,0,0,shadow
2,0,0,0,0,shadow
2,1,0,0,0,shadow
2,2,0,0,0,shadow
2,3,47,28,23,shadow
2,4,48,29,21,shadow
2,5,45,27,22,shadow
2,6,48,27,21,shadow
2,7,0,0,0,shadow
2,8,0,0,0,shadow
3,0,0,0,0,shadow
3,1,0,0,0,shadow
3,2,48,28,20,shadow
3,3,46,28,22,shadow
3,4,48,28,19,shadow
3,5,48,28,21,shadow
3,6,48,28,23,shadow
3,7,46,28,21,shadow
3,8,0,0,0,shadow
4,0,0,0,0,shadow
4,1,49,29,20,shadow
4,2,48,28,21,shadow
4,3,45,27,21,shadow
4,4,47,28,19,shadow
4,5,48,29,23,shadow
4,6,45,28,21,shadow
4,7,46,28,21,shadow
4,8,47,29,19,shadow
5,0,0,0,0,shadow
5,1,0,0,0,shadow
5,2,48,28,22,shadow
5,3,47,30,23,shadow
5,4,48,28,21,shadow
5,5,49,28,21,shadow
5,6,47,27,19,shadow
5,7,47,28,21,shadow
5,8,0,0,0,shadow
6,0,0,0,0,shadow
6,1,0,0,0,shadow
6,2,47,27,22,shadow
6,3,45,28,22,shadow
6,4,48,29,22,shadow
6,5,49,30,20,shadow
6,6,0,0,0,shadow
6,7,0,0,0,shadow
6,8,0,0,0,shadow
7,0,0,0,0,shadow
7,1,0,0,0,shadow
7,2,48,27,20,shadow
7,3,46,28,22,shadow
7,4,0,0,0,shadow
7,5,0,0,0,shadow
7,6,0,0,0,shadow
7,7,0,0,0,shadow
7,8,0,0,0,shadow
0,0,0,0,0,shadow
0,1,0,0,0,shadow
0,2,0,0,0,shadow
0,3,0,0,0,shadow
0,4,0,0,0,shadow
0,5,0,0,0,shadow
0,6,0,0,0,shadow
0,7,0,0,0,shadow
0,8,0,0,0,shadow
0,9,0,0,0,shadow
1,0,0,0,0,shadow
1,1,0,0,0,shadow
1,2,0,0,0,shadow
1,3,0,0,0,shadow
1,4,51,33,26,shadow
1,5,52,33,26,shadow
1,6,0,0,0,shadow
1,7,0,0,0,shadow
1,8,0,0,0,shadow
1,9,0,0,0,shadow
2,0,0,0,0,shadow
2,1,0,0,0,shadow
2,2,0,0,0,shadow
2,3,0,0,0,shadow
2,4,51,31,24,shadow
2,5,50,31,22,shadow
2,6,52,32,24,shadow
2,7,0,0,0,shadow
2,8,0,0,0,shadow
2,9,0,0,0,shadow
3,0,0,0,0,shadow
3,1,0,0,0,shadow
3,2,0,0,0,shadow
3,3,52,31,27,shadow
3,4,50,32,24,shadow
3,5,53,31,24,shadow
3,6,49,33,23,shadow
3,7,50,31,25,shadow
3,8,0,0,0,shadow
3,9,0,0,0,shadow
4,0,0,0,0,shadow
4,1,0,0,0,shadow
4,2,0,0,0,shadow
4,3,49,32,25,shadow
4,4,49,30,22,shadow
4,5,50,31,24,shadow
4,6,54,34,26,shadow
4,7,51,32,25,shadow
4,8,51,30,25,shadow
4,9,0,0,0,shadow
5,0,0,0,0,shadow
5,1,0,0,0,shadow
5,2,52,32,21,shadow
5,3,48,31,24,shadow
5,4,50,32,22,shadow
5,5,51,32,24,shadow
5,6,51,32,22,shadow
5,7,51,32,24,shadow
5,8,52,31,24,shadow
5,9,52,33,25,shadow
6,0,0,0,0,shadow
6,1,0,0,0,shadow
6,2,49,31,23,shadow
6,3,50,30,23,shadow
6,4,51,31,20,shadow
6,5,50,30,26,shadow
6,6,49,31,25,shadow
6,7,51,31,24,shadow
6,8,52,31,25,shadow
6,9,0,0,0,shadow
7,0,0,0,0,shadow
7,1,51,33,26,shadow
7,2,54,32,27,shadow
7,3,48,31,26,shadow
7,4,53,29,22,shadow
7,5,52,32,24,shadow
7,6,50,30,23,shadow
7,7,49,31,23,shadow
7,8,50,32,23,shadow
7,9,0,0,0,shadow
8,0,0,0,0,shadow
8,1,50,31,25,shadow
8,2,51,33,27,shadow
8,3,51,31,26,shadow
8,4,52,31,24,shadow
8,5,52,34,26,shadow
8,6,52,31,25,shadow
8,7,50,31,24,shadow
8,8,0,0,0,shadow
8,9,0,0,0,shadow
9,0,52,33,24,shadow
9,1,50,31,24,shadow
9,2,49,31,24,shadow
9,3,52,31,25,shadow
9,4,51,32,25,shadow
9,5,52,34,28,shadow
9,6,50,32,25,shadow
9,7,52,33,23,shadow
9,8,0,0,0,shadow
9,9,0,0,0,shadow
10,0,0,0,0,shadow
10,1,0,0,0,shadow
10,2,0,0,0,shadow
10,3,51,32,26,shadow
10,4,51,32,26,shadow
10,5,52,33,27,shadow
10,6,49,33,25,shadow
10,7,53,33,23,shadow
10,8,0,0,0,shadow
10,9,0,0,0,shadow
11,0,0,0,0,shadow
11,1,0,0,0,shadow
11,2,0,0,0,shadow
11,3,0,0,0,shadow
11,4,0,0,0,shadow
11,5,0,0,0,shadow
11,6,50,32,24,shadow
11,7,0,0,0,shadow
11,8,0,0,0,shadow
11,9,0,0,0,shadow
0,0,0,0,0,water
0,1,0,0,0,water
0,2,0,0,0,water
0,3,0,0,0,water
0,4,0,0,0,water
0,5,0,0,0,water
0,6,0,0,0,water
0,7,0,0,0,water
0,8,0,0,0,water
0,9,0,0,0,water
0,10,0,0,0,water
0,11,52,34,22,water
0,12,52,32,22,water
0,13,52,31,22,water
0,14,53,32,22,water
0,15,53,33,22,water
0,16,51,32,19,water
0,17,53,33,22,water
1,0,55,32,21,water
1,1,54,32,22,water
1,2,55,31,22,water
1,3,55,33,23,water
1,4,54,33,24,water
1,5,53,32,22,water
1,6,54,33,24,water
1,7,54,32,22,water
1,8,54,31,22,water
1,9,54,32,23,water
1,10,53,32,21,water
1,11,54,33,21,water
1,12,52,33,21,water
1,13,52,32,21,water
1,14,54,33,20,water
1,15,52,33,22,water
1,16,53,31,20,water
1,17,52,33,22,water
2,0,0,0,0,water
2,1,54,32,21,water
2,2,54,31,24,water
2,3,54,31,23,water
2,4,53,33,23,water
2,5,53,33,22,water
2,6,54,33,24,water
2,7,54,32,22,water
2,8,54,31,21,water
2,9,55,32,24,water
2,10,53,32,22,water
2,11,54,31,20,water
2,12,53,33,23,water
2,13,53,32,23,water
2,14,52,33,22,water
2,15,55,32,23,water
2,16,55,32,23,water
2,17,51,33,21,water
3,0,0,0,0,water
3,1,55,32,22,water
3,2,54,31,24,water
3,3,54,30,21,water
3,4,53,33,21,water
3,5,52,34,22,water
3,6,53,33,23,water
3,7,54,32,21,water
3,8,54,33,21,water
3,9,54,32,24,water
3,10,53,32,23,water
3,11,54,32,19,water
3,12,54,33,22,water
3,13,53,32,23,water
3,14,52,33,23,water
3,15,54,32,22,water
3,16,53,31,20,water
3,17,0,0,0,water
4,0,0,0,0,water
4,1,0,0,0,water
4,2,55,33,22,water
4,3,54,33,22,water
4,4,54,33,23,water
4,5,53,32,22,water
4,6,54,33,20,water
4,7,54,33,22,water
4,8,54,33,23,water
4,9,52,33,23,water
4,10,52,33,23,water
4,11,54,34,19,water
4,12,55,32,21,water
4,13,52,33,23,water
4,14,54,32,22,water
4,15,51,33,21,water
4,16,52,31,19,water
4,17,0,0,0,water
5,0,0,0,0,water
5,1,0,0,0,water
5,2,0,0,0,water
5,3,53,33,22,water
5,4,56,33,22,water
5,5,53,31,23,water
5,6,54,32,23,water
5,7,55,33,22,water
5,8,53,33,22,water
5,9,53,34,22,water
5,10,52,32,22,water
5,11,54,31,22,water
5,12,55,34,22,water
5,13,54,33,21,water
5,14,53,32,22,water
5,15,50,32,22,water
5,16,52,33,22,water
5,17,0,0,0,water
6,0,0,0,0,water
6,1,0,0,0,water
6,2,0,0,0,water
6,3,52,34,25,water
6,4,55,33,23,water
6,5,56,32,23,water
6,6,53,32,22,water
6,7,52,33,21,water
6,8,56,32,24,water
6,9,53,32,23,water
6,10,53,32,22,water
6,11,53,34,19,water
6,12,52,33,20,water
6,13,54,32,23,water
6,14,54,31,19,water
6,15,52,32,21,water
6,16,54,32,22,water
6,17,0,0,0,water
7,0,0,0,0,water
7,1,0,0,0,water
7,2,0,0,0,water
7,3,0,0,0,water
7,4,54,33,24,water
7,5,56,33,22,water
7,6,52,34,21,water
7,7,51,33,23,water
7,8,55,32,23,water
7,9,54,32,22,water
7,10,52,32,20,water
7,11,53,33,22,water
7,12,53,33,21,water
7,13,54,32,20,water
7,14,53,33,24,water
7,15,53,32,19,water
7,16,53,34,24,water
7,17,0,0,0,water
8,0,0,0,0,water
8,1,0,0,0,water
8,2,0,0,0,water
8,3,0,0,0,water
8,4,54,32,25,water
8,5,53,33,21,water
8,6,52,33,24,water
8,7,55,32,24,water
8,8,55,32,21,water
8,9,54,33,21,water
8,10,54,34,21,water
8,11,53,32,21,water
8,12,52,32,22,water
8,13,0,0,0,water
8,14,0,0,0,water
8,15,0,0,0,water
8,16,0,0,0,water
8,17,0,0,0,water
0,0,0,0,0,water
0,1,0,0,0,water
0,2,0,0,0,water
0,3,0,0,0,water
0,4,0,0,0,water
0,5,0,0,0,water
0,6,0,0,0,water
0,7,0,0,0,water
0,8,0,0,0,water
0,9,0,0,0,water
0,10,0,0,0,water
1,0,0,0,0,water
1,1,0,0,0,water
1,2,58,42,28,water
1,3,57,42,27,water
1,4,56,41,27,water
1,5,56,41,26,water
1,6,57,41,27,water
1,7,58,40,27,water
1,8,55,40,26,water
1,9,57,40,24,water
1,10,0,0,0,water
2,0,0,0,0,water
2,1,60,41,29,water
2,2,56,42,28,water
2,3,54,41,27,water
2,4,57,42,29,water
2,5,57,42,27,water
2,6,56,40,27,water
2,7,58,40,25,water
2,8,55,39,27,water
2,9,56,39,26,water
2,10,0,0,0,water
3,0,0,0,0,water
3,1,0,0,0,water
3,2,58,41,27,water
3,3,54,41,28,water
3,4,57,41,28,water
3,5,58,42,26,water
3,6,56,41,28,water
3,7,55,42,26,water
3,8,54,39,26,water
3,9,55,41,26,water
3,10,0,0,0,water
4,0,0,0,0,water
4,1,0,0,0,water
4,2,59,41,25,water
4,3,57,40,29,water
4,4,56,39,27,water
4,5,57,42,25,water
4,6,57,42,28,water
4,7,55,41,26,water
4,8,56,41,27,water
4,9,56,42,26,water
4,10,0,0,0,water
5,0,0,0,0,water
5,1,0,0,0,water
5,2,0,0,0,water
5,3,57,40,28,water
5,4,56,41,27,water
5,5,57,42,26,water
5,6,58,42,27,water
5,7,57,41,25,water
5,8,57,40,28,water
5,9,57,40,26,water
5,10,0,0,0,water
6,0,0,0,0,water
6,1,0,0,0,water
6,2,0,0,0,water
6,3,0,0,0,water
6,4,57,42,26,water
6,5,57,42,27,water
6,6,58,41,24,water
6,7,57,40,29,water
6,8,59,41,27,water
6,9,56,40,26,water
6,10,0,0,0,water
7,0,0,0,0,water
7,1,0,0,0,water
7,2,0,0,0,water
7,3,0,0,0,water
7,4,58,43,27,water
7,5,55,41,27,water
7,6,57,41,27,water
7,7,57,42,27,water
7,8,58,41,28,water
7,9,57,40,24,water
7,10,0,0,0,water
8,0,0,0,0,water
8,1,0,0,0,water
8,2,0,0,0,water
8,3,0,0,0,water
8,4,0,0,0,water
8,5,0,0,0,water
8,6,0,0,0,water
8,7,0,0,0,water
8,8,0,0,0,water
8,9,0,0,0,water
8,10,0,0,0,water
0,0,0,0,0,water
0,1,0,0,0,water
